split,class_name,patch_id,segment_id,dataset_path,source_crop_path
train,building,building_patch_02,1,data/classifier/train/building/building_patch_02_segment_1.png,outputs/labeling/building_patch_02/crops/segment_1.png
train,building,building_patch_02,13,data/classifier/train/building/building_patch_02_segment_13.png,outputs/labeling/building_patch_02/crops/segment_13.png
train,building,building_patch_02,27,data/classifier/train/building/building_patch_02_segment_27.png,outputs/labeling/building_patch_02/crops/segment_27.png
train,building,building_patch_02,34,data/classifier/train/building/building_patch_02_segment_34.png,outputs/labeling/building_patch_02/crops/segment_34.png
train,building,building_patch_02,4,data/classifier/train/building/building_patch_02_segment_4.png,outputs/labeling/building_patch_02/crops/segment_4.png
train,building,building_patch_02,46,data/classifier/train/building/building_patch_02_segment_46.png,outputs/labeling/building_patch_02/crops/segment_46.png
train,building,building_patch_02,55,data/classifier/train/building/building_patch_02_segment_55.png,outputs/labeling/building_patch_02/crops/segment_55.png
train,building,building_patch_02,56,data/classifier/train/building/building_patch_02_segment_56.png,outputs/labeling/building_patch_02/crops/segment_56.png
train,building,building_patch_02,57,data/classifier/train/building/building_patch_02_segment_57.png,outputs/labeling/building_patch_02/crops/segment_57.png
train,building,building_patch_02,61,data/classifier/train/building/building_patch_02_segment_61.png,outputs/labeling/building_patch_02/crops/segment_61.png
train,building,building_patch_02,65,data/classifier/train/building/building_patch_02_segment_65.png,outputs/labeling/building_patch_02/crops/segment_65.png
train,building,building_patch_02,7,data/classifier/train/building/building_patch_02_segment_7.png,outputs/labeling/building_patch_02/crops/segment_7.png
train,building,train_04_r1c0,18,data/classifier/train/building/train_04_r1c0_segment_18.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_18.png
train,building,train_04_r1c0,2,data/classifier/train/building/train_04_r1c0_segment_2.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_2.png
train,building,train_04_r1c0,3,data/classifier/train/building/train_04_r1c0_segment_3.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_3.png
train,building,train_04_r1c0,31,data/classifier/train/building/train_04_r1c0_segment_31.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_31.png
train,building,train_04_r1c0,33,data/classifier/train/building/train_04_r1c0_segment_33.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_33.png
train,building,train_04_r1c0,36,data/classifier/train/building/train_04_r1c0_segment_36.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_36.png
train,building,train_04_r1c0,4,data/classifier/train/building/train_04_r1c0_segment_4.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_4.png
train,building,train_04_r1c0,41,data/classifier/train/building/train_04_r1c0_segment_41.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_41.png
train,building,train_04_r1c0,45,data/classifier/train/building/train_04_r1c0_segment_45.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_45.png
train,building,train_04_r1c0,46,data/classifier/train/building/train_04_r1c0_segment_46.png,outputs/labeling/source_patches/train/train_04_r1c0/crops/segment_46.png
train,building,train_04_r1c1,100,data/classifier/train/building/train_04_r1c1_segment_100.png,outputs/labeling/source_patches/train/train_04_r1c1/crops/segment_100.png
train,building,train_04_r1c1,19,data/classifier/train/building/train_04_r1c1_segment_19.png,outputs/labeling/source_patches/train/train_04_r1c1/crops/segment_19.png
train,building,train_04_r1c1,30,data/classifier/train/building/train_04_r1c1_segment_30.png,outputs/labeling/source_patches/train/train_04_r1c1/crops/segment_30.png
train,building,train_04_r1c1,38,data/classifier/train/building/train_04_r1c1_segment_38.png,outputs/labeling/source_patches/train/train_04_r1c1/crops/segment_38.png
train,building,train_04_r1c1,6,data/classifier/train/building/train_04_r1c1_segment_6.png,outputs/labeling/source_patches/train/train_04_r1c1/crops/segment_6.png
